"","user_id","seleccio.1","seleccio.2","seleccio.3","seleccio.4","seleccio.5","seleccio.6","seleccio.7","seleccio.8","seleccio.9","seleccio.10","mean_contr","partida","SD"
"61",5,3,4,3,3,0,1,0,2,4,0,2,2,1.63299316185545
"62",9,2,3,3,4,3,1,1,0,2,1,2,2,1.24721912892465
"63",10,3,4,3,4,3,4,4,1,2,2,3,2,1.05409255338946
"64",11,4,4,4,4,4,4,3,3,4,4,3.8,2,0.421637021355784
"65",12,3,4,4,4,4,3,3,3,4,3,3.5,2,0.52704627669473
"66",14,4,4,4,4,4,3,2,3,2,0,3,2,1.33333333333333
"121",13,4,4,4,4,4,4,4,1,1,0,3,3,1.63299316185545
"122",15,2,1,3,3,4,3,1,1,1,0,1.9,3,1.28668393770792
"123",16,3,2,3,4,3,4,4,2,1,3,2.9,3,0.994428926011753
"124",17,2,2,2,3,1,2,2,1,0,0,1.5,3,0.97182531580755
"125",18,2,2,3,3,4,2,2,2,3,2,2.5,3,0.707106781186548
"126",19,4,4,3,4,2,3,1,0,4,0,2.5,3,1.64991582276861
"241",26,4,4,3,3,2,3,1,0,4,4,2.8,5,1.3984117975602
"242",27,4,0,1,1,0,4,0,0,2,2,1.4,5,1.57762127549323
"243",28,1,1,1,3,1,1,1,0,1,2,1.2,5,0.788810637746616
"244",29,2,3,1,4,3,0,1,0,3,3,2,5,1.4142135623731
"245",30,2,2,3,2,1,3,2,1,0,4,2,5,1.15470053837925
"246",32,3,4,2,4,4,2,4,4,3,4,3.4,5,0.843274042711568
"421",44,2,2,2,2,2,1,1,2,0,0,1.4,8,0.843274042711568
"422",45,0,1,2,3,4,0,1,2,3,4,2,8,1.49071198499986
"423",46,4,4,4,4,4,4,4,4,4,4,4,8,0
"424",47,1,1,1,2,1,1,0,1,1,0,0.9,8,0.567646212197547
"425",48,4,2,2,3,4,2,4,2,2,3,2.8,8,0.918936583472681
"426",49,3,4,4,3,4,3,3,4,2,4,3.4,8,0.699205898780101
"541",56,2,3,4,3,2,3,3,2,4,2,2.8,10,0.788810637746616
"542",57,2,4,2,1,1,2,1,2,1,0,1.6,10,1.07496769977314
"543",58,3,2,3,0,4,1,2,4,1,0,2,10,1.49071198499986
"544",59,4,4,4,4,4,0,4,4,4,4,3.6,10,1.26491106406735
"545",60,0,1,0,1,0,1,0,3,4,0,1,10,1.4142135623731
"546",62,4,2,1,3,0,2,0,1,1,0,1.4,10,1.34989711542111
"661",68,2,2,2,1,3,2,2,0,1,0,1.5,12,0.97182531580755
"662",69,2,3,4,2,1,2,2,0,0,0,1.6,12,1.34989711542111
"663",70,4,4,4,4,4,3,4,4,0,4,3.5,12,1.26929551764398
"664",71,4,4,4,4,4,4,0,0,0,0,2.4,12,2.06559111797729
"665",72,4,4,4,4,4,4,4,0,0,0,2.8,12,1.93218356615859
"666",73,3,3,2,2,2,2,1,0,0,0,1.5,12,1.17851130197758
"781",80,3,3,4,3,3,3,3,3,0,1,2.6,14,1.17378779077727
"782",81,2,2,1,1,2,0,0,0,1,0,0.9,14,0.875595035770913
"783",82,3,2,4,1,3,1,0,3,0,1,1.8,14,1.3984117975602
"784",83,2,1,1,4,1,4,4,4,4,4,2.9,14,1.44913767461894
"785",85,1,2,0,3,4,4,4,4,3,1,2.6,14,1.50554530541816
"786",87,3,2,1,4,1,1,3,2,1,0,1.8,14,1.22927259430572
"901",88,2,4,2,3,3,4,4,4,4,3,3.3,16,0.823272602348565
"902",92,2,3,1,0,0,1,0,4,2,2,1.5,16,1.35400640077266
"903",94,3,3,3,3,2,4,3,3,3,2,2.9,16,0.567646212197547
"904",95,1,2,2,1,1,2,0,3,2,1,1.5,16,0.849836585598797
"905",96,2,2,2,2,2,2,2,2,2,2,2,16,0
"906",97,0,1,4,0,2,3,0,2,1,1,1.4,16,1.34989711542111
"1021",103,3,4,4,2,4,2,1,2,3,1,2.6,18,1.17378779077727
"1022",105,3,4,3,2,4,4,3,1,4,1,2.9,18,1.19721899973786
"1023",106,2,3,3,4,2,3,3,3,4,3,3,18,0.666666666666667
"1024",107,1,3,4,4,1,2,1,2,1,1,2,18,1.24721912892465
"1025",108,4,3,3,3,3,4,4,4,4,4,3.6,18,0.516397779494322
"1026",109,2,2,2,2,1,1,0,0,0,0,1,18,0.942809041582063
"1141",116,4,4,3,3,3,3,4,2,2,2,3,20,0.816496580927726
"1142",117,3,2,1,1,0,0,0,0,0,0,0.7,20,1.05934990547138
"1143",118,3,0,1,2,0,1,1,1,0,2,1.1,20,0.994428926011753
"1144",119,4,3,4,3,4,2,2,0,1,0,2.3,20,1.56702123647242
"1145",120,4,3,2,1,3,2,3,0,3,2,2.3,20,1.15950180872841
"1146",121,2,3,4,4,4,4,3,2,4,0,3,20,1.33333333333333
"1261",126,2,1,1,2,1,1,1,1,1,1,1.2,22,0.421637021355784
"1262",129,3,4,1,3,2,4,2,3,2,1,2.5,22,1.08012344973464
"1263",130,3,2,4,1,3,4,2,3,1,3,2.6,22,1.07496769977314
"1264",131,2,2,2,3,2,2,2,3,2,0,2,22,0.816496580927726
"1265",132,3,2,2,2,3,3,2,3,3,4,2.7,22,0.674948557710553
"1266",133,4,2,1,2,1,3,1,1,1,2,1.8,22,1.03279555898864
"1381",140,4,2,3,2,3,4,2,0,0,0,2,24,1.56347191994114
"1382",141,3,2,4,0,0,3,0,0,0,0,1.2,24,1.61932770686548
"1383",142,1,1,2,1,1,1,1,0,1,1,1,24,0.471404520791032
"1384",144,4,4,4,4,4,4,0,0,0,0,2.4,24,2.06559111797729
"1385",145,4,4,4,4,4,4,4,1,0,0,2.9,24,1.79195734076208
"1386",146,4,4,4,4,4,4,3,1,0,0,2.8,24,1.75119007154183
"1501",150,4,4,3,2,2,2,4,3,0,1,2.5,26,1.35400640077266
"1502",153,1,1,1,4,3,2,3,4,1,0,2,26,1.4142135623731
"1503",154,2,3,1,3,1,2,4,2,1,1,2,26,1.05409255338946
"1504",155,1,1,2,2,2,2,4,4,1,1,2,26,1.15470053837925
"1505",156,3,2,4,3,2,1,2,2,0,1,2,26,1.15470053837925
"1506",157,4,4,4,2,1,1,0,1,1,2,2,26,1.49071198499986
"1621",164,4,4,4,4,4,4,4,4,4,0,3.6,28,1.26491106406735
"1622",165,2,2,2,2,2,2,1,0,0,0,1.3,28,0.948683298050514
"1623",166,1,4,3,4,2,2,3,1,0,0,2,28,1.49071198499986
"1624",167,3,2,4,4,4,4,4,1,0,0,2.6,28,1.71269767715535
"1625",168,1,1,2,2,4,1,1,1,0,1,1.4,28,1.07496769977314
"1626",170,3,3,3,4,2,2,1,0,0,0,1.8,28,1.47572957474524
"1681",169,2,2,3,2,4,4,3,0,0,0,2,29,1.56347191994114
"1682",171,3,3,2,1,2,2,1,0,0,0,1.4,29,1.17378779077727
"1683",172,2,4,1,4,1,4,4,1,1,0,2.2,29,1.61932770686548
"1684",173,4,3,3,4,4,2,4,1,0,0,2.5,29,1.64991582276861
"1685",174,2,2,2,1,2,1,2,1,0,0,1.3,29,0.823272602348565
"1686",175,4,4,4,4,3,4,4,3,0,0,3,29,1.63299316185545
"1801",180,4,4,4,4,2,4,4,4,4,4,3.8,31,0.632455532033676
"1802",183,0,2,2,2,2,2,2,0,0,0,1.2,31,1.03279555898864
"1803",184,4,2,2,0,2,0,4,2,0,0,1.6,31,1.57762127549323
"1804",186,2,2,4,4,4,4,4,2,0,0,2.6,31,1.64654520469713
"1805",187,4,4,2,2,2,2,4,2,0,4,2.6,31,1.34989711542111
"1806",188,2,4,2,2,0,2,0,4,0,0,1.6,31,1.57762127549323
"1921",194,2,2,4,0,2,2,4,2,2,0,2,33,1.33333333333333
"1922",195,2,2,4,4,0,2,4,4,2,2,2.6,33,1.34989711542111
"1923",196,2,2,0,0,2,2,0,0,2,0,1,33,1.05409255338946
"1924",199,0,2,2,0,2,0,2,2,0,0,1,33,1.05409255338946
"1925",200,4,4,4,4,4,4,4,4,4,4,4,33,0
"1926",203,2,2,2,2,2,0,0,2,4,2,1.8,33,1.13529242439509
"2041",206,4,4,2,4,2,4,4,4,2,4,3.4,35,0.966091783079296
"2042",207,0,2,0,0,0,2,2,0,0,0,0.6,35,0.966091783079296
"2043",208,2,2,2,2,2,2,2,0,0,0,1.4,35,0.966091783079296
"2044",209,4,4,4,4,4,4,4,4,4,2,3.8,35,0.632455532033676
"2045",212,4,2,4,2,2,0,0,2,0,0,1.6,35,1.57762127549323
"2046",213,4,2,2,2,2,0,0,2,0,4,1.8,35,1.47572957474524
"2161",218,4,2,2,4,2,0,2,4,4,0,2.4,37,1.57762127549323
"2162",219,2,2,2,2,2,0,2,0,2,0,1.4,37,0.966091783079296
"2163",220,2,4,4,2,0,2,0,2,2,0,1.8,37,1.47572957474524
"2164",221,2,4,2,4,0,2,4,2,4,0,2.4,37,1.57762127549323
"2165",222,2,4,2,2,2,0,0,0,2,0,1.4,37,1.34989711542111
"2166",224,2,4,4,0,2,4,2,4,4,4,3,37,1.4142135623731
"2281",228,2,2,4,2,4,2,0,2,0,2,2,39,1.33333333333333
"2282",230,0,2,0,2,0,0,0,0,0,0,0.4,39,0.843274042711568
"2283",232,4,2,4,4,4,4,4,4,4,4,3.8,39,0.632455532033676
"2284",233,2,2,2,4,4,4,4,4,2,4,3.2,39,1.03279555898864
"2285",236,4,2,4,4,4,4,4,2,2,0,3,39,1.4142135623731
"2286",237,2,4,0,2,4,2,2,0,0,0,1.6,39,1.57762127549323
"2401",242,2,4,4,4,4,4,4,4,0,0,3,41,1.69967317119759
"2402",243,2,4,4,4,4,2,2,2,0,2,2.6,41,1.34989711542111
